collectioncode,catalognumber,scientificname,longitude,latitude
CEPEC*,103428,Cambessedesia espora,-45.8800010681152,-23.1700000762939
US*,2449777,Cambessedesia espora,-46.5614013671875,-21.7877998352051
US,3397336,Cambessedesia espora,-44.9853,-21.7222
US*,2369509,Cambessedesia espora,-48.0499992370605,-23.5900001525879
US*,1341633,Cambessedesia espora,-46.6096992492676,-20.718900680542
US*,2449773,Cambessedesia espora,-46.5614013671875,-21.7877998352051
US*,2486167,Cambessedesia espora,-47.9296989440918,-15.7797002792358
US*,2615876,Cambessedesia espora,-46.610556,-20.352500
US*,2249172,Cambessedesia espora,-46.940601348877,-19.5932998657227
US*,1363570,Cambessedesia espora,-47.643333,-15.697778
US*,2457567,Cambessedesia espora,-46.5614013671875,-21.7877998352051
US*,2602356,Cambessedesia espora,-44.2467002868652,-19.465799331665
US,1363566,Cambessedesia espora,-48.493056,-20.371944
US*,3217250,Cambessedesia espora,-43.6918983459473,-20.5207996368408
UB,181305,Cambessedesia espora,-46.331389,-20.612222
UB,192750,Cambessedesia espora,-46.812778,-20.335
OUPR*,23542,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,3108,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,5261,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,582,Cambessedesia espora,-43.6697006225586,-19.8799991607666
OUPR*,592,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,6105,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,6098,Cambessedesia espora,-43.6697006225586,-19.8799991607666
OUPR*,6098,Cambessedesia espora,-43.8616981506348,-16.7350006103516
OUPR*,6099,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,6100,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,6101,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,6102,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,6107,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,6115,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,6108,Cambessedesia espora,-43.6697006225586,-19.8799991607666
OUPR*,6110,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,6110,Cambessedesia espora,-43.2268981933594,-19.6191997528076
OUPR*,6112,Cambessedesia espora,-46.356944,-20.645833
OUPR*,6113,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,6117,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,6118,Cambessedesia espora,-46.288889,-20.640278
OUPR*,6118,Cambessedesia espora,-43.6918983459473,-20.5207996368408
OUPR*,6121,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,6122,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,6124,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,6129,Cambessedesia espora,-43.5080986022949,-20.2875003814697
OUPR*,7508,Cambessedesia espora,-43.937801361084,-19.9207992553711
MBM*,257939,Cambessedesia espora,-43.937198638916,-21.8607997894287
ESAL*,6599,Cambessedesia espora,-44.8711013793945,-21.3169002532959
NYBG*,477705,Cambessedesia espora,-47.741111,-15.818333
NYBG,909747,Cambessedesia espora,-46.3656,-20.2456
NYBG*,477707,Cambessedesia espora,-47.962500,-15.697500
NYBG,909748,Cambessedesia espora,-46.3656,-20.2456
HUFU*,19282,Cambessedesia espora,-43.801399230957,-20.2532997131348
HUFU*,23721,Cambessedesia espora,-46.3657989501953,-20.2453002929688
HUFU*,24340,Cambessedesia espora,-46.3657989501953,-20.2453002929688
HUFU*,28359,Cambessedesia espora,-47.2928009033203,-19.3528003692627
HUFU*,55090,Cambessedesia espora,-46.0499992370605,-20.6152992248535
HUFU*,55127,Cambessedesia espora,-43.5080986022949,-20.2875003814697
HUFU*,6142,Cambessedesia espora,-48.2771987915039,-18.9186000823975
HUFU,29407,Cambessedesia espora,-46.871111,-20.281111
HUFU,31102,Cambessedesia espora,-46.767222,-20.4425
HUFU*,40374,Cambessedesia espora,-43.5080986022949,-20.2875003814697
HUFU,42709,Cambessedesia espora,-46.230833,-20.604444
HUFU,42859,Cambessedesia espora,-46.323333,-20.624444
HUFU,43785,Cambessedesia espora,-46.340833,-20.659167
HUFU,43798,Cambessedesia espora,-46.337222,-20.608056
HUFU,43825,Cambessedesia espora,-46.227778,-20.647778
HUFU*,45228,Cambessedesia espora,-46.0499992370605,-20.6152992248535
HUFU*,46015,Cambessedesia espora,-46.229167,-20.603056
HUFU*,9432,Cambessedesia espora,-46.3657989501953,-20.2453002929688
HUFU*,9884,Cambessedesia espora,-46.3657989501953,-20.2453002929688
SP*,269859,Cambessedesia espora,-43.881389,-21.698889
SP*,269860,Cambessedesia espora,-43.903889,-21.715278
SP*,4230,Cambessedesia espora,-46.6300010681152,-23.5400009155273
SP*,452965,Cambessedesia espora,-46.8539009094238,-20.343900680542
SP*,78260,Cambessedesia espora,-46.6300010681152,-23.5400009155273
SP*,79366,Cambessedesia espora,-43.7407989501953,-18.4543991088867
SP*,93405,Cambessedesia espora,-45.8800010681152,-23.1700000762939
UEC*,43307,Cambessedesia espora,-46.3880996704102,-20.8635997772217
UEC*,10283,Cambessedesia espora,-46.3880996704102,-20.8635997772217
UEC*,10291,Cambessedesia espora,-43.8466987609863,-19.9855995178223
UEC,117208,Cambessedesia espora,-44.659167,-21.576667
UEC*,120649,Cambessedesia espora,-46.1446990966797,-22.7553005218506
UEC,66179,Cambessedesia espora,-46.564722,-21.838889
UEC*,154955,Cambessedesia espora,-43.6918983459473,-20.5207996368408
UEC,20376,Cambessedesia espora,-46.564722,-21.838889
UEC*,20459,Cambessedesia espora,-46.5614013671875,-21.7877998352051
UEC*,21236,Cambessedesia espora,-46.5614013671875,-21.7877998352051
UEC,22552,Cambessedesia espora,-46.564722,-21.838889
UEC*,22674,Cambessedesia espora,-44.999698638916,-21.2453002929688
UEC,23316,Cambessedesia espora,-46.564722,-21.838889
UEC,25516,Cambessedesia espora,-46.564722,-21.838889
UEC*,25745,Cambessedesia espora,-46.5614013671875,-21.7877998352051
UEC*,31761,Cambessedesia espora,-46.9914016723633,-20.9169006347656
UEC*,33578,Cambessedesia espora,-44.3138999938965,-19.7625007629395
UEC*,34374,Cambessedesia espora,-44.6425018310547,-21.4874992370605
UEC,43622,Cambessedesia espora,-43.343056,-16.452222
UEC*,94685,Cambessedesia espora,-46.7200012207031,-23.3199996948242
UEC*,94688,Cambessedesia espora,-46.7200012207031,-23.3199996948242
SPF*,118540,Cambessedesia espora,-46.7900009155273,-21.9599990844727
SPF*,191614,Cambessedesia espora,-46.8539009094238,-20.343900680542
SPF*,37838,Cambessedesia espora,-44.9852981567383,-21.7222003936768
SPF,64463,Cambessedesia espora,-43.716667,-20.483333
SPF*,84235,Cambessedesia espora,-46.6300010681152,-23.5400009155273
UPCB*,45451,Cambessedesia espora,-43.920278,-21.725833
BHZB,5562,Cambessedesia espora,-43.983333,-20.1
UNOP,7583,Cambessedesia espora,-47.160028,-19.233583
ALCB,67332,Cambessedesia espora,-47.524722,-14.705556
ALCB,67421,Cambessedesia espora,-47.336667,-16.218333
HEPH,12681,Cambessedesia espora,-47.85,-15.866667
HEPH,37405,Cambessedesia espora,-46.715278,-20.292778
FLOR,31019,Cambessedesia espora,-48.05,-15.866667
UB,37176,Cambessedesia espora,-48,-15.866667
UB,107084,Cambessedesia espora,-48,-15.866667
SPF*,232783,Cambessedesia espora,-49.2439002990723,-16.823299407959
SPF,73963,Cambessedesia espora,-45,-21.333333
SPF,85108,Cambessedesia espora,-43.683333,-20.466667
SPF,87393,Cambessedesia espora,-44.216667,-21.333333
SPF,87394,Cambessedesia espora,-44.216667,-21.333333
SPF,87395,Cambessedesia espora,-44.216667,-21.333333
SPF*,144865,Cambessedesia espora,-44.5699996948242,-22.6399993896484
SPF*,145864,Cambessedesia espora,-44.4308013916016,-18.7563991546631
SPF*,165841,Cambessedesia espora,-46.7200012207031,-23.3199996948242
SPF*,165846,Cambessedesia espora,-46.7200012207031,-23.3199996948242
SPF*,165847,Cambessedesia espora,-46.7200012207031,-23.3199996948242
SPF*,166627,Cambessedesia espora,-46.7200012207031,-23.3199996948242
SPF*,166715,Cambessedesia espora,-46.7200012207031,-23.3199996948242
SPF*,166720,Cambessedesia espora,-46.7200012207031,-23.3199996948242
SPF,207734,Cambessedesia espora,-43.603722,-19.216583
SP,354810,Cambessedesia espora,-47.885278,-15.778056
SP*,200180,Cambessedesia espora,-44.6425018310547,-21.4874992370605
R*,231179,Cambessedesia espora,-44.1781005859375,-21.1103000640869
CESJ*,35291,Cambessedesia espora,-43.793098449707,-21.8425006866455
CESJ*,38901,Cambessedesia espora,-44.9852981567383,-21.7222003936768
CESJ*,56884,Cambessedesia espora,-44.603099822998,-21.9755992889404
CESJ*,57913,Cambessedesia espora,-44.8899993896484,-21.9589004516602
CESJ*,63227,Cambessedesia espora,-43.7736015319824,-21.2257995605469
BOTU,12574,Cambessedesia espora,-47.321944,-21.860000
BOTU*,26230,Cambessedesia espora,-47.971944,-15.751667
BHCB*,11580,Cambessedesia espora,-43.801399230957,-20.2532997131348
BHCB*,117271,Cambessedesia espora,-43.801399230957,-20.2532997131348
BHCB*,12726,Cambessedesia espora,-43.6918983459473,-20.5207996368408
BHCB,131798,Cambessedesia espora,-44.996389,-20.178889
BHCB*,14017,Cambessedesia espora,-43.6918983459473,-20.5207996368408
BHCB*,14133,Cambessedesia espora,-44.0527992248535,-20.3330993652344
BHCB,145821,Cambessedesia espora,-44.262019,-20.037125
BHCB,158886,Cambessedesia espora,-46.528528,-20.3275
BHCB,159670,Cambessedesia espora,-43.972747,-20.136319
BHCB*,16055,Cambessedesia espora,-44.0527992248535,-20.3330993652344
BHCB,163647,Cambessedesia espora,-43.713056,-18.275278
BHCB,166072,Cambessedesia espora,-43.918889,-20.441111
BHCB,167732,Cambessedesia espora,-43.901389,-20.099444
BHCB,167806,Cambessedesia espora,-43.901389,-20.099444
BHCB,167869,Cambessedesia espora,-43.891111,-20.105278
BHCB,167995,Cambessedesia espora,-43.891111,-20.105278
BHCB*,17308,Cambessedesia espora,-43.6918983459473,-20.5207996368408
BHCB,176690,Cambessedesia espora,-43.905833,-20.445833
BHCB,177170,Cambessedesia espora,-43.924722,-20.147222
BHCB,177580,Cambessedesia espora,-43.824167,-20.175
BHCB,178567,Cambessedesia espora,-43.848611,-20.228611
BHCB,178765,Cambessedesia espora,-43.605,-20.197222
BHCB,178871,Cambessedesia espora,-43.605,-20.197222
BHCB,183779,Cambessedesia espora,-43.869444,-20.256944
BHCB,184042,Cambessedesia espora,-43.856111,-20.271944
BHCB*,188190,Cambessedesia espora,-43.5080986022949,-20.2875003814697
BHCB,197632,Cambessedesia espora,-43.489167,-19.555
BHCB,198047,Cambessedesia espora,-44.341111,-20.12
BHCB,198048,Cambessedesia espora,-44.026667,-20.076944
BHCB*,19876,Cambessedesia espora,-44.1911010742188,-21.9472007751465
BHCB*,19877,Cambessedesia espora,-43.3793983459473,-18.604700088501
BHCB*,20341,Cambessedesia espora,-43.7407989501953,-18.4543991088867
BHCB*,22877,Cambessedesia espora,-43.6918983459473,-20.5207996368408
BHCB*,22878,Cambessedesia espora,-44.0527992248535,-20.3330993652344
BHCB*,22879,Cambessedesia espora,-43.6918983459473,-20.5207996368408
BHCB*,24071,Cambessedesia espora,-43.801399230957,-20.2532997131348
BHCB*,24071,Cambessedesia espora,-43.801399230957,-20.2532997131348
BHCB*,24820,Cambessedesia espora,-47.2928009033203,-19.3528003692627
BHCB*,24820,Cambessedesia espora,-47.2928009033203,-19.3528003692627
BHCB*,24821,Cambessedesia espora,-47.2928009033203,-19.3528003692627
BHCB*,24821,Cambessedesia espora,-47.2928009033203,-19.3528003692627
BHCB*,29094,Cambessedesia espora,-43.7407989501953,-18.4543991088867
BHCB*,29094,Cambessedesia espora,-43.7407989501953,-18.4543991088867
BHCB*,38032,Cambessedesia espora,-46.3657989501953,-20.2453002929688
BHCB*,39169,Cambessedesia espora,-44.0527992248535,-20.3330993652344
BHCB*,42181,Cambessedesia espora,-43.6002998352051,-18.2493991851807
BHCB,42243,Cambessedesia espora,-43.983333,-20
BHCB*,4681,Cambessedesia espora,-43.8466987609863,-19.9855995178223
BHCB,5359,Cambessedesia espora,-46.350556,-20.640833
BHCB*,54243,Cambessedesia espora,-44.4308013916016,-18.7563991546631
BHCB*,60934,Cambessedesia espora,-46.3657989501953,-20.2453002929688
BHCB*,60935,Cambessedesia espora,-46.3657989501953,-20.2453002929688
BHCB*,67972,Cambessedesia espora,-46.5614013671875,-21.7877998352051
BHCB,73744,Cambessedesia espora,-43.983611,-20.093056
BHCB*,8836,Cambessedesia espora,-43.793098449707,-21.8425006866455
BHCB*,97573,Cambessedesia espora,-45.24169921875,-18.2063999176025
BHCB*,97651,Cambessedesia espora,-43.793098449707,-21.8425006866455
SORO*,3954,Cambessedesia espora,-47.4500007629395,-23.5
HPUC-MG,ANG4077,Cambessedesia espora,-43.966944,-20.208611
NYBG*,4218388,Cambessedesia espora,-43.6918983459473,-20.5207996368408
NYBG*,4218371,Cambessedesia espora,-43.95388794,-21.69916344
MACK*,2921,Cambessedesia espora,-46.7200012207031,-23.3199996948242
MACK*,2949,Cambessedesia espora,-46.7200012207031,-23.3199996948242
MACK*,3001,Cambessedesia espora,-46.7200012207031,-23.3199996948242
MACK*,2993,Cambessedesia espora,-46.7200012207031,-23.3199996948242
UNOP,7577,Cambessedesia espora,-43.8466987609863,-19.9855995178223
PACA-AGP,70713,Cambessedesia espora,-47.492500,-14.105000
HUFSJ,9332,Cambessedesia espora,-44.505478,-21.248486
HUFSJ,9340,Cambessedesia espora,-44.515258,-21.256967
HUFSJ,7320,Cambessedesia espora,-44.327167,-21.653139
HUFSJ*,792,Cambessedesia espora,-44.303889,-21.142222
HUFSJ*,2758,Cambessedesia espora,-44.1781005859375,-21.1103000640869
VIC*,034317,Cambessedesia espora,-43.5080986022949,-20.2875003814697
VIC*,10156,Cambessedesia espora,-44.4042015075684,-19.2744007110596
VIC*,11285,Cambessedesia espora,-44.1911010742188,-21.9472007751465
OUPR*,20319,Cambessedesia espora,-43.6918983459473,-20.5207996368408
OUPR*,20516,Cambessedesia espora,-43.937801361084,-19.9207992553711
OUPR*,22462,Cambessedesia espora,-43.6918983459473,-20.5207996368408
OUPR,26486,Cambessedesia espora,-43.683333,-20.516667
OUPR*,31251,Cambessedesia espora,-43.5080986022949,-20.2875003814697
IPA,11558,Cambessedesia espora,-48.522222,-15.984444
UFG,17946,Cambessedesia espora,-47.884722,-15.948889
UFG,17951,Cambessedesia espora,-47.883889,-15.890833
UFG*,22824,Cambessedesia espora,-50.2150001525879,-16.1266994476318
HEPH,17596,Cambessedesia espora,-47.85,-15.866667
HEPH,17789,Cambessedesia espora,-47.85,-15.866667
HEPH,18766,Cambessedesia espora,-47.85,-15.866667
HEPH,19547,Cambessedesia espora,-47.897778,-15.926389
HEPH*,19809,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH,2027,Cambessedesia espora,-43.668056,-20.508333
HEPH*,20435,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH*,20500,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH*,20624,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH*,23535,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH*,23788,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH*,23986,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH,25636,Cambessedesia espora,-48.182778,-15.934167
HEPH*,26570,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH,26617,Cambessedesia espora,-48.131667,-15.966111
HEPH*,27693,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH*,27850,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH,31091,Cambessedesia espora,-47.999167,-15.909722
HEPH,31154,Cambessedesia espora,-47.866389,-15.882778
HEPH*,32184,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH*,33724,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH*,3517,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH,37389,Cambessedesia espora,-46.767222,-20.4425
HEPH*,7835,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH,9677,Cambessedesia espora,-48.100278,-15.773333
HEPH*,4067,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH*,4260,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH*,5028,Cambessedesia espora,-47.9296989440918,-15.7797002792358
HEPH*,570,Cambessedesia espora,-47.9296989440918,-15.7797002792358
FLOR*,41184,Cambessedesia espora,-43.5080986022949,-20.2875003814697
HUCS,7504,Cambessedesia espora,-47.534167,-14.117778
HUSC*,8502,Cambessedesia espora,-44.9852981567383,-21.7222003936768
UB*,2573,Cambessedesia espora,-47.9296989440918,-15.7797002792358
UB,2574,Cambessedesia espora,-47.916667,-15.6
UB,2575,Cambessedesia espora,-47.033333,-15.566667
UB,3266,Cambessedesia espora,-48.033333,-15.983333
UB,3543,Cambessedesia espora,-47.5,-13.766667
UB,4232,Cambessedesia espora,-47.933333,-15.883333
UB,7601,Cambessedesia espora,-47.666667,-16.75
UB,89069,Cambessedesia espora,-48.016667,-15.883333
UB,89074,Cambessedesia espora,-47.509333,-14.072694
UB,89075,Cambessedesia espora,-47.509333,-14.072694
UB,89078,Cambessedesia espora,-47.509333,-14.072694
UB,89093,Cambessedesia espora,-47.509333,-14.072694
UB,91979,Cambessedesia espora,-47.509333,-14.072694
UB,,Cambessedesia espora,-43.550278,-19.256944
UB,,Cambessedesia espora,-47.867222,-15.954722
UB,,Cambessedesia espora,-43.550278,-19.256944
UB,,Cambessedesia espora,-43.550278,-19.256944
UB,,Cambessedesia espora,-47.870278,-15.951667
UB,,Cambessedesia espora,-47.628056,-14.144722
UB,,Cambessedesia espora,-47.867222,-15.954722
UB,,Cambessedesia espora,-47.867222,-15.954722
UB*,,Cambessedesia espora,-47.9296989440918,-15.7797002792358
UB*,19623,Cambessedesia espora,-47.9296989440918,-15.7797002792358
UB*,19624,Cambessedesia espora,-47.9296989440918,-15.7797002792358
UB*,19625,Cambessedesia espora,-47.9296989440918,-15.7797002792358
UB,19626,Cambessedesia espora,-47.509333,-14.072694
UB*,19628,Cambessedesia espora,-47.9296989440918,-15.7797002792358
UB*,19629,Cambessedesia espora,-47.9296989440918,-15.7797002792358
UB*,19630,Cambessedesia espora,-47.9296989440918,-15.7797002792358
UB*,19631,Cambessedesia espora,-47.9296989440918,-15.7797002792358
UB,19632,Cambessedesia espora,-48.005000,-15.531944
UB*,19634,Cambessedesia espora,-47.9296989440918,-15.7797002792358
UB*,19635,Cambessedesia espora,-47.9296989440918,-15.7797002792358
UB,19636,Cambessedesia espora,-47.933333,-15.816667
UB*,19637,Cambessedesia espora,-47.9296989440918,-15.7797002792358
UB*,19638,Cambessedesia espora,-47.9296989440918,-15.7797002792358
UB,2541,Cambessedesia espora,-47.916667,-15.95
UB*,2542,Cambessedesia espora,-47.9296989440918,-15.7797002792358
UB,2543,Cambessedesia espora,-47.933333,-15.983333
UB,2545,Cambessedesia espora,-47.9,-15.95
UB*,2546,Cambessedesia espora,-47.9296989440918,-15.7797002792358
UB*,19603,Cambessedesia espora,-47.479167,-13.891667
UB,19571,Cambessedesia espora,-47.633333,-15.816667
UB,10497,Cambessedesia espora,-47.666667,-16.75
UB,14832,Cambessedesia espora,-47.926944,-15.730833
UB,107454,Cambessedesia espora,-47.905556,-15.926389
UB,107830,Cambessedesia espora,-48.001389,-16.503889
UB,11828,Cambessedesia espora,-47.887778,-15.744444
UB*,149362,Cambessedesia espora,-46.6300010681152,-23.5400009155273
UB,172794,Cambessedesia espora,-47.9,-15.930833
UB,180550,Cambessedesia espora,-47.857222,-15.945556
UB,181382,Cambessedesia espora,-47.9,-15.930833
UB,182663,Cambessedesia espora,-47.9,-15.930833
UB*,19621,Cambessedesia espora,-47.977778,-15.765000
CAS-BOT,471933,Cambessedesia espora,-47.9090555556,-15.9448055556
CAS-BOT,471939,Cambessedesia espora,-48.007222,-15.516944
CAS-BOT,561018,Cambessedesia espora,-43.696389,-20.496667
CAS-BOT,471932,Cambessedesia espora,-47.057222,-19.488889
ESA*,122173,Cambessedesia espora,-43.8466987609863,-19.9855995178223
ESA*,122243,Cambessedesia espora,-43.8466987609863,-19.9855995178223
ESA*,138269,Cambessedesia espora,-47.9296989440918,-15.7797002792358
ESA*,139882,Cambessedesia espora,-43.7144012451172,-19.1688995361328
ESA*,18737,Cambessedesia espora,-43.6918983459473,-20.5207996368408
BHZB,10897,Cambessedesia espora,-43.801944,-20.44
BHZB*,10255,Cambessedesia espora,-43.7144012451172,-19.1688995361328
BHZB,10857,Cambessedesia espora,-43.794444,-20.437778
BHZB,10856,Cambessedesia espora,-43.794444,-20.437778
MOBOT*,1804738,Cambessedesia espora,-46.853056,-19.588056
MOBOT*,3311494,Cambessedesia espora,-47.781389,-15.796944
S,S11-29427,Cambessedesia espora,-55.698889,-15.435000
RB*,RB01404486,Cambessedesia espora,-43.589444,-20.486389
RB*,RB00229790,Cambessedesia espora,-44.738333,-21.995556
RB*,RB01398103,Cambessedesia espora,-44.640556,-22.165556
RB*,RB00231674,Cambessedesia espora,-46.483889,-23.583333
RB*,RB00229795,Cambessedesia espora,-43.532500,-20.367222
RB*,RB00563680,Cambessedesia espora,-46.829722,-20.353333
RB*,RB00236048,Cambessedesia espora,-47.781111,-15.798333
RB*,RB00230248,Cambessedesia espora,-43.920000,-17.293056
RB*,RB00228698,Cambessedesia espora,-48.060833,-15.782778
RB*,RB00587031,Cambessedesia espora,-46.616667,-21.761111
RB,RB00550777,Cambessedesia espora,-43.883333,-21.716667
RB*,RB00527545,Cambessedesia espora,-43.895833,-21.724167
RB*,RB00229550,Cambessedesia espora,-47.524167,-14.077500
RB*,RB00232003,Cambessedesia espora,-48.570000,-15.959167
RB*,RB00229344,Cambessedesia espora,-44.325833,-22.007500
RB*,RB00229618,Cambessedesia espora,-46.555556,-21.760556
K,K000957168,Cambessedesia espora,-47.972778,-15.720000
K,K000957179,Cambessedesia espora,-46.416111,-20.267222
K,K000957169,Cambessedesia espora,-51.794167,-16.948333
CEPEC*,75775,Cambessedesia glaziovii,-47.5099983215332,-14.1324996948242
CEN,110969,Cambessedesia glaziovii,-47.79,-14.165555
CEN*,31920,Cambessedesia glaziovii,-47.5099983215332,-14.1324996948242
CEN*,53451,Cambessedesia glaziovii,-47.4583015441895,-13.7974996566772
CEN*,53861,Cambessedesia glaziovii,-47.5099983215332,-14.1324996948242
CEN,95173,Cambessedesia glaziovii,-47.7325,-13.571111
US*,3372780,Cambessedesia glaziovii,-47.5099983215332,-14.1324996948242
US,2864076,Cambessedesia glaziovii,-47.535833,-13.941111
US,3181327,Cambessedesia glaziovii,-47.711667,-14.136389
US,3210366,Cambessedesia glaziovii,-47.895000,-14.177222
FURB,42936,Cambessedesia glaziovii,-47.3833333,-13.9205556
MBM*,155328,Cambessedesia glaziovii,-47.2647018432617,-13.7763996124268
MBM,383310,Cambessedesia glaziovii,-47.775444,-13.700556
FMM,1113,Cambessedesia glaziovii,-47.832717,-14.160156
HUEM,33101,Cambessedesia glaziovii,-47.50342,-14.10484
NYBG,1523331,Cambessedesia glaziovii,-47.5097,-14.1325
NYBG,02841609,Cambessedesia glaziovii,-47.590833,-14.172778
NYBG,1523263,Cambessedesia glaziovii,-47.5167,-13.75517
NYBG,477702,Cambessedesia glaziovii,-47.5097,-14.1325
ALCB,67338,Cambessedesia glaziovii,-47.823333,-13.675278
ASU-PLANTS,ASU0024818,Cambessedesia glaziovii,-47.521517,-14.133556
HUFU*,1280,Cambessedesia glaziovii,-47.5099983215332,-14.1324996948242
HUFU,23073,Cambessedesia glaziovii,-47.632222,-14.161111
HUFU,63388,Cambessedesia glaziovii,-47.530556,-14.031944
HUFU*,63881,Cambessedesia glaziovii,-47.5099983215332,-14.1324996948242
HUFU,66759,Cambessedesia glaziovii,-47.455278,-13.810278
HUFU,79864,Cambessedesia glaziovii,-47.371667,-13.906111
SP*,212490,Cambessedesia glaziovii,-47.5099983215332,-14.1324996948242
SP*,215939,Cambessedesia glaziovii,-47.5099983215332,-14.1324996948242
UEC,101873,Cambessedesia glaziovii,-47.610278,-14.169028
UEC*,105669,Cambessedesia glaziovii,-47.5099983215332,-14.1324996948242
UEC*,144069,Cambessedesia glaziovii,-47.5099983215332,-14.1324996948242
UEC,155678,Cambessedesia glaziovii,-47.618056,-14.1625
UEC,162956,Cambessedesia glaziovii,-47.616667,-14.163611
UEC,171567,Cambessedesia glaziovii,-47.870833,-14.226667
UEC,172067,Cambessedesia glaziovii,-47.626944,-14.185556
UEC,188137,Cambessedesia glaziovii,-47.790153,-14.162375
UEC*,56003,Cambessedesia glaziovii,-47.5099983215332,-14.1324996948242
UEC,90091,Cambessedesia glaziovii,-47.493889,-13.944167
UEC*,93282,Cambessedesia glaziovii,-47.5099983215332,-14.1324996948242
HEPH,13711,Cambessedesia glaziovii,-47.621944,-14.171667
CAS-BOT,600438,Cambessedesia glaziovii,-47.784167,-14.156111
CAS-BOT*,471984,Cambessedesia glaziovii,-47.5099983215332,-14.1324996948242
US,2904241,Cambessedesia gracilis,-41.95,-13.55
CEPEC*,20759,Cambessedesia gracilis,-42.134722,-13.626944
CEPEC,47173,Cambessedesia gracilis,-41.883333,-13.3
CEPEC,84937,Cambessedesia gracilis,-41.9,-13.25
JPB,56436,Cambessedesia gracilis,-41.861389,-13.397778
HUEFS,10663,Cambessedesia gracilis,-41.916667,-13.3
HUEFS,10664,Cambessedesia gracilis,-42.916667,-13.3
HUEFS,106732,Cambessedesia gracilis,-41.850833,-13.326389
HUEFS,10799,Cambessedesia gracilis,-41.883333,-13.333333
HUEFS,111832,Cambessedesia gracilis,-41.753056,-13.442778
HUEFS,111834,Cambessedesia gracilis,-41.753056,-13.442778
HUEFS,14388,Cambessedesia gracilis,-42.366667,-13.833333
HUEFS,166492,Cambessedesia gracilis,-41.943611,-13.517778
HUEFS,18165,Cambessedesia gracilis,-41.85,-13.316667
HUEFS,185255,Cambessedesia gracilis,-41.966111,-13.526667
HUEFS*,209261,Cambessedesia gracilis,-41.8114013671875,-13.5789003372192
HUEFS,46333,Cambessedesia gracilis,-41.9,-13.25
HUEFS,47690,Cambessedesia gracilis,-41.754444,-13.450556
HUEFS,56012,Cambessedesia gracilis,-41.983333,-13.516667
HUEFS,71064,Cambessedesia gracilis,-41.833333,-13.516667
HUEFS,74391,Cambessedesia gracilis,-41.850556,-13.329444
HUEFS,75448,Cambessedesia gracilis,-41.854167,-13.316111
HUEFS,98674,Cambessedesia gracilis,-41.753056,-13.442778
HUEFS,98675,Cambessedesia gracilis,-41.753056,-13.442778
NYBG,01093076,Cambessedesia gracilis,-41.7531,-13.4428
NYBG,02137340,Cambessedesia gracilis,-41.9486,-13.51692
ALCB,62732,Cambessedesia gracilis,-41.85,-13.316667
UEC,144057,Cambessedesia gracilis,-41.753056,-13.442778
UEC,145878,Cambessedesia gracilis,-41.753056,-13.442778
UEC,152161,Cambessedesia gracilis,-41.753056,-13.442778
UEC,154541,Cambessedesia gracilis,-41.753056,-13.442778
UEC,167307,Cambessedesia gracilis,-41.882306,-13.325833
SPF*,49809,Cambessedesia gracilis,-42.134722,-13.626944
MOBOT,3216653,Cambessedesia gracilis,-41.9,-13.25
MOBOT,3216938,Cambessedesia gracilis,-42.36666,-13.83333
HUEFS,98685,Cambessedesia gracilis,-41.753056,-13.442778
