collectioncode,catalognumber,scientificname,longitude,latitude
US*,2623476,Cambessedesia corymbosa,-43.600299,-18.249399
US*,2907121,Cambessedesia corymbosa,-43.838889,-20.182500
US*,2623483,Cambessedesia corymbosa,-43.627222,-19.321389
US*,2645799,Cambessedesia corymbosa,-43.685556,-18.301944
US*,2615878,Cambessedesia corymbosa,-42.301667,-20.640278
US*,3217213,Cambessedesia corymbosa,-43.714401,-19.168899
ESA*,7215,Cambessedesia corymbosa,-43.714401,-19.168899
ESA*,82638,Cambessedesia corymbosa,-43.651389,-19.315278
OUPR*,27015,Cambessedesia corymbosa,-43.937801,-19.920799
OUPR*,6125,Cambessedesia corymbosa,-43.937801,-19.920799
OUPR*,6125,Cambessedesia corymbosa,-43.508098,-20.287500
OUPR*,6127,Cambessedesia corymbosa,-43.937801,-19.920799
OUPR*,6128,Cambessedesia corymbosa,-43.508098,-20.287500
OUPR*,6129,Cambessedesia corymbosa,-43.651389,-19.315278
OUPR*,6132,Cambessedesia corymbosa,-43.605000,-19.341667
UB,19510,Cambessedesia corymbosa,-43.6,-19.316667
UB*,19511,Cambessedesia corymbosa,-43.495556,-20.433056
UB*,19512,Cambessedesia corymbosa,-43.846698,-19.985599
UB*,19559,Cambessedesia corymbosa,-41.976389,-13.531111
UB*,19569,Cambessedesia corymbosa,-43.603611,-19.345000
UB*,19506,Cambessedesia corymbosa,-43.937801,-19.920799
UB*,19507,Cambessedesia corymbosa,-43.603611,-19.345000
UB*,19502,Cambessedesia corymbosa,-43.603611,-19.345000
UB*,19503,Cambessedesia corymbosa,-43.603611,-19.345000
UB*,19504,Cambessedesia corymbosa,-43.603611,-19.345000
MBM*,20135,Cambessedesia corymbosa,-43.744998,-19.513599
MBM*,226281,Cambessedesia corymbosa,-43.801399,-20.253299
MBM*,248505,Cambessedesia corymbosa,-43.600299,-18.249399
MBM*,271884,Cambessedesia corymbosa,-43.600299,-18.249399
MBM*,271886,Cambessedesia corymbosa,-43.937801,-19.920799
HUEFS,112750,Cambessedesia corymbosa,-43.64,-18.727222
HUEFS,116854,Cambessedesia corymbosa,-42.888611,-16.754722
HUEFS,116915,Cambessedesia corymbosa,-43.557222,-18.283611
HUEFS,88323,Cambessedesia corymbosa,-43.733333,-18.116944
HUEM,33118,Cambessedesia corymbosa,-43.43052,-18.18462
NYBG*,1523318,Cambessedesia corymbosa,-43.846698,-19.985599
NYBG,1523316,Cambessedesia corymbosa,-43.55,-19.28
NYBG,909740,Cambessedesia corymbosa,-43.7215,-18.4293
NYBG,909739,Cambessedesia corymbosa,-43.21845,-16.40385
NYBG,1523283,Cambessedesia corymbosa,-43.3792,-18.6047
NYBG,1523317,Cambessedesia corymbosa,-43.539757,-19.388386
NYBG,1523262,Cambessedesia corymbosa,-43.7833,-18.0833
NYBG,1523260,Cambessedesia corymbosa,-43.5366667,-18.1838
HUFU,12204,Cambessedesia corymbosa,-43.303611,-19.191667
HUFU*,19181,Cambessedesia corymbosa,-43.8466987609863,-19.9855995178223
HUFU*,19224,Cambessedesia corymbosa,-44.1996994018555,-20.1432991027832
HUFU*,19225,Cambessedesia corymbosa,-43.3793983459473,-18.604700088501
HUFU*,24984,Cambessedesia corymbosa,-43.6557998657227,-18.4456005096436
HUFU*,25596,Cambessedesia corymbosa,-43.3908004760742,-18.0041999816895
HUFU*,39944,Cambessedesia corymbosa,-44.0527992248535,-20.3330993652344
HUFU*,53811,Cambessedesia corymbosa,-43.8466987609863,-19.9855995178223
HUFU*,54137,Cambessedesia corymbosa,-43.3908004760742,-18.0041999816895
HUFU,55683,Cambessedesia corymbosa,-43.803611,-18.593889
HUFU,59925,Cambessedesia corymbosa,-43.618333,-18.210278
HUFU,59953,Cambessedesia corymbosa,-43.550833,-18.1675
HUFU,62268,Cambessedesia corymbosa,-43.606667,-18.186389
HUFU,62515,Cambessedesia corymbosa,-43.5,-19.166667
HUFU*,66506,Cambessedesia corymbosa,-43.6002998352051,-18.2493991851807
HUFU*,69198,Cambessedesia corymbosa,-43.7144012451172,-19.1688995361328
HUFU,69521,Cambessedesia corymbosa,-43.762778,-18.291667
HUFU,69641,Cambessedesia corymbosa,-43.702222,-18.268056
HUFU,72097,Cambessedesia corymbosa,-43.7975,-18.270556
HUFU*,73276,Cambessedesia corymbosa,-43.6918983459473,-20.5207996368408
HUFU*,73945,Cambessedesia corymbosa,-43.6918983459473,-20.5207996368408
HUFU*,76077,Cambessedesia corymbosa,-43.383611,-18.030000
HUFU*,80431,Cambessedesia corymbosa,-43.5080986022949,-20.2875003814697
SP*,195281,Cambessedesia corymbosa,-43.7144012451172,-19.1688995361328
SP*,329163,Cambessedesia corymbosa,-44.757778,-21.989722
SP*,329164,Cambessedesia corymbosa,-43.638056,-19.373333
UEC,101675,Cambessedesia corymbosa,-43.5,-19.166667
UEC*,10287,Cambessedesia corymbosa,-43.7449989318848,-19.513599395752
UEC*,10288,Cambessedesia corymbosa,-43.7449989318848,-19.513599395752
UEC*,119763,Cambessedesia corymbosa,-43.6697006225586,-19.8799991607666
UEC,143609,Cambessedesia corymbosa,-43.741806,-18.694722
UEC,161373,Cambessedesia corymbosa,-43.598056,-18.619722
UEC,163580,Cambessedesia corymbosa,-43.635278,-19.423056
UEC,165916,Cambessedesia corymbosa,-43.144264,-18.146078
UEC,169930,Cambessedesia corymbosa,-43.993861,-18.370861
UEC,169942,Cambessedesia corymbosa,-43.993861,-18.370861
UEC,170265,Cambessedesia corymbosa,-44.191139,-18.4675
UEC*,171554,Cambessedesia corymbosa,-43.7407989501953,-18.4543991088867
UEC*,175687,Cambessedesia corymbosa,-43.8466987609863,-19.9855995178223
UEC,187699,Cambessedesia corymbosa,-44.143233,-20.293172
UEC*,27813,Cambessedesia corymbosa,-43.7144012451172,-19.1688995361328
UEC*,29938,Cambessedesia corymbosa,-43.7144012451172,-19.1688995361328
UEC*,29946,Cambessedesia corymbosa,-43.7144012451172,-19.1688995361328
UEC*,66413,Cambessedesia corymbosa,-43.6002998352051,-18.2493991851807
UEC*,66854,Cambessedesia corymbosa,-43.7144012451172,-19.1688995361328
UEC*,66855,Cambessedesia corymbosa,-43.8466987609863,-19.9855995178223
UEC*,66856,Cambessedesia corymbosa,-43.8466987609863,-19.9855995178223
UEC*,90384,Cambessedesia corymbosa,-44.1996994018555,-20.1432991027832
BHCB,196184,Cambessedesia corymbosa,-43.9175,-19.964444
BHCB,178009,Cambessedesia corymbosa,-43.684722,-20.021389
SPF,162040,Cambessedesia corymbosa,-43.682222,-18.634444
R*,9252,Cambessedesia corymbosa,-43.6002998352051,-18.2493991851807
R*,9253,Cambessedesia corymbosa,-43.6002998352051,-18.2493991851807
SPF,87397,Cambessedesia corymbosa,-44.216667,-21.333333
MOBOT*,100383907,Cambessedesia corymbosa,-43.435000,-19.168889
MOBOT,100383968,Cambessedesia corymbosa,-43.435000,-19.168889
MOBOT*,100383972,Cambessedesia corymbosa,-43.685000,-18.365000
FMNH-SEEDPLANTS,V0119612F,Cambessedesia corymbosa,-43.476389,-20.438611
FMNH-SEEDPLANTS,V0119615F,Cambessedesia corymbosa,-43.681111,-18.894167
FMNH-SEEDPLANTS,V0119616F,Cambessedesia corymbosa,-43.745000,-18.092500
FMNH-SEEDPLANTS,V0119618F,Cambessedesia corymbosa,-43.798611,-20.002222
FMNH-SEEDPLANTS,V0119619F,Cambessedesia corymbosa,-43.936944,-20.251667
FMNH-SEEDPLANTS,V0119621F,Cambessedesia corymbosa,-43.514444,-19.169167
FMNH-SEEDPLANTS,V0119624F,Cambessedesia corymbosa,-44.009722,-20.075833
FMNH-SEEDPLANTS,V0119625F,Cambessedesia corymbosa,-43.908611,-19.980556
M*,M-0165357,Cambessedesia corymbosa,-43.343056,-19.394444
ESA*,7201,Cambessedesia corymbosa,-43.7144012451172,-19.1688995361328
UB*,19508,Cambessedesia corymbosa,-43.504722,-19.533611
MCMG*,2730,Cambessedesia corymbosa,-43.7144012451172,-19.1688995361328
OUPR*,6082,Cambessedesia corymbosa,-43.6002998352051,-18.2493991851807
OUPR*,6083,Cambessedesia corymbosa,-43.6918983459473,-20.5207996368408
OUPR*,6084,Cambessedesia corymbosa,-43.5080986022949,-20.2875003814697
OUPR*,35056,Cambessedesia corymbosa,-43.5080986022949,-20.2875003814697
ESAL*,26743,Cambessedesia corymbosa,-44.301700592041,-20.0702991485596
SP*,188987,Cambessedesia corymbosa,-43.7144012451172,-19.1688995361328
FUEL*,35473,Cambessedesia corymbosa,-43.8466987609863,-19.9855995178223
CESJ*,14034,Cambessedesia corymbosa,-43.6002998352051,-18.2493991851807
BHCB,129278,Cambessedesia corymbosa,-43.879764,-20.255969
BHCB,133473,Cambessedesia corymbosa,-44.340972,-21.188889
BHCB,133480,Cambessedesia corymbosa,-44.233889,-20.735278
BHCB,145820,Cambessedesia corymbosa,-44.238675,-20.049078
BHCB,159820,Cambessedesia corymbosa,-43.972747,-20.136319
BHCB,165321,Cambessedesia corymbosa,-43.985833,-20.075833
BHCB,165684,Cambessedesia corymbosa,-43.991389,-20.077222
BHCB*,16600,Cambessedesia corymbosa,-44.0527992248535,-20.3330993652344
BHCB,178303,Cambessedesia corymbosa,-43.4899,-18.469842
BHCB,185051,Cambessedesia corymbosa,-43.883889,-20.095278
BHCB,185242,Cambessedesia corymbosa,-43.866944,-20.260556
BHCB*,188277,Cambessedesia corymbosa,-44.1996994018555,-20.1432991027832
BHCB,190030,Cambessedesia corymbosa,-43.965278,-20.2475
BHCB,195950,Cambessedesia corymbosa,-43.572778,-19.509167
BHCB*,19882,Cambessedesia corymbosa,-43.6002998352051,-18.2493991851807
BHCB*,23996,Cambessedesia corymbosa,-43.801399230957,-20.2532997131348
BHCB*,31793,Cambessedesia corymbosa,-43.8466987609863,-19.9855995178223
BHCB*,39460,Cambessedesia corymbosa,-44.1781005859375,-21.1103000640869
BHCB*,40661,Cambessedesia corymbosa,-44.1996994018555,-20.1432991027832
BHCB*,4678,Cambessedesia corymbosa,-43.8466987609863,-19.9855995178223
BHCB*,51519,Cambessedesia corymbosa,-43.3908004760742,-18.0041999816895
BHCB*,5247,Cambessedesia corymbosa,-43.7144012451172,-19.1688995361328
BHCB*,67982,Cambessedesia corymbosa,-43.937801361084,-19.9207992553711
BHCB,73747,Cambessedesia corymbosa,-43.983611,-20.093056
BHCB*,8776,Cambessedesia corymbosa,-43.7144012451172,-19.1688995361328
SPF*,117492,Cambessedesia corymbosa,-43.6002998352051,-18.2493991851807
SPF*,132649,Cambessedesia corymbosa,-43.7144012451172,-19.1688995361328
SPF*,41826,Cambessedesia corymbosa,-43.7144012451172,-19.1688995361328
SPF,167025,Cambessedesia corymbosa,-43.748056,-18.840556
SPF,209612,Cambessedesia corymbosa,-43.74359,-18.922908
SPF,209631,Cambessedesia corymbosa,-43.737305,-19.048627
SPF*,216562,Cambessedesia corymbosa,-43.7144012451172,-19.1688995361328
SPF,218461,Cambessedesia corymbosa,-43.588333,-19.284444
SPF*,63554,Cambessedesia corymbosa,-43.7144012451172,-19.1688995361328
SPF*,73858,Cambessedesia corymbosa,-43.7144012451172,-19.1688995361328
